bulan,cabang_olahraga,event_olahraga,nomor_pertandingan,nama_peraih_medali,medali,jumlah
3,Bulutangkis,All England 2018,Ganda Putra,Marcus Fernaldi Gideon dan Kevin Sanjaya,perak,0
3,Bulutangkis,Kejuaraan Bulutangkis Astec Open,U17 Tunggal Remaja Putri,Shakira Salsabila,perak,0
8,Bulutangkis,Asian Sport Junior Exchange 2018,Beregu,Beregu,perak,0
8,Bulutangkis,Asian Games  XVII/2018,Tunggal Putra,Jonatan Christie,perak,0
8,Bulutangkis,Asian Games  XVII/2018,Ganda Putra,Marcus Fernandi Gideon,perak,0
8,Bulutangkis,Asian Games  XVII/2018,Ganda Putri,Greysia Polii dan Apriyani,perak,0
11,Bulutangkis,Asian Junior Sport Exchange Games 2018,Various,Atlet Bulutangkis PPOP DKI,perak,0
1,Bulutangkis,Daihatsu Indonesia Masters 2018,Ganda Putra,Marcus Fernaldi Gideon,perunggu,0
1,Bulutangkis,Daihatsu Indonesia Masters 2018,Ganda Putri,Greysia Polii dan Apriyani,perunggu,0
2,Bulutangkis,India Open,Ganda Putra,Marcus Fernaldi Gideon,perunggu,0
3,Bulutangkis,All England 2018,Ganda Putra,Marcus Fernaldi Gideon dan Kevin Sanjaya,perunggu,0
8,Bulutangkis,Asian Sport Junior Exchange 2018,Beregu,Beregu,perunggu,0
8,Bulutangkis,Asian Games  XVII/2018,Tunggal Putra,Jonatan Christie,perunggu,0
8,Bulutangkis,Asian Games  XVII/2018,Ganda Putra,Marcus Fernandi Gideon,perunggu,0
8,Bulutangkis,Asian Games  XVII/2018,Ganda Putra,M. Fajar Ardianto,perunggu,0
11,Bulutangkis,5th Asia Pacific Deaf Badminton Championship U21,Various,Atlet Disabilitas DKI,perunggu,0
8,Bulutangkis,Asian Games  XVII/2018,Beregu Putra,Jonatan Christie,emas,
8,Bulutangkis,Asian Games  XVII/2018,Beregu Putri,Fitriani,emas,
8,Bulutangkis,Asian Games  XVII/2018,Beregu Putra,Jonatan Christie,perak,
8,Bulutangkis,Asian Games  XVII/2018,Beregu Putri,Fitriani,perak,
8,Bulutangkis,Asian Games  XVII/2018,Beregu Putra,Jonatan Christie,perunggu,
8,Bulutangkis,Asian Games  XVII/2018,Beregu Putri,Fitriani,perunggu,
9,Golf,Kejurnas Golf Amatir 2018,Beregu Putra,Atlet Pelatda Golf DKI,emas,1
9,Golf,Kejurnas Golf Amatir 2018,Beregu Putri,Atlet Pelatda Golf DKI,emas,1
12,Golf,Southeast Asian Amateur Golf Team Championship 2018,Beregu,Atlet Golf Pelatda DKI,perak,1
12,Golf,Southeast Asian Amateur Golf Team Championship 2018,Beregu,Atlet Golf Pelatda DKI,emas,0
9,Golf,Kejurnas Golf Amatir 2018,Beregu Putra,Atlet Pelatda Golf DKI,perak,0
9,Golf,Kejurnas Golf Amatir 2018,Beregu Putri,Atlet Pelatda Golf DKI,perak,0
9,Golf,Kejurnas Golf Amatir 2018,Beregu Putra,Atlet Pelatda Golf DKI,perunggu,0
9,Golf,Kejurnas Golf Amatir 2018,Beregu Putri,Atlet Pelatda Golf DKI,perunggu,0
12,Golf,Southeast Asian Amateur Golf Team Championship 2018,Beregu,Atlet Golf Pelatda DKI,perunggu,0
11,Renang,Kejuaraan Renang Bulanan 2018,Various,Various,emas,168
11,Renang,Kejuaraan Renang Bulanan 2018,Various,Various,perak,168
11,Renang,Kejuaraan Renang Bulanan 2018,Various,Various,perunggu,168
11,Renang,Kejuaraan Renang Disabilitas 2018,Various,Atlet Disabilitas DKI,emas,60
11,Renang,Kejuaraan Renang Disabilitas 2018,Various,Atlet Disabilitas DKI,perak,60
11,Renang,Kejuaraan Renang Disabilitas 2018,Various,Atlet Disabilitas DKI,perunggu,60
10,Renang,Invitasi Renang DKI Jakarta 2018,Various,Various,emas,34
10,Renang,Invitasi Renang DKI Jakarta 2018,Various,Various,perak,34
10,Renang,Invitasi Renang DKI Jakarta 2018,Various,Various,perunggu,34
7,Renang,Kejurnas Antar PPLP/D 2018,Various,Atlet Renang PPOP,emas,8
7,Renang,Kejurnas Antar PPLP/D 2018,Various,Atlet Renang PPOP,perak,8
7,Renang,Kejurnas Antar PPLP/D 2018,Various,Atlet Renang PPOP,perunggu,6
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Dada Putra,Lutfi Lukman,emas,1
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Dada Putra,Lutfi Lukman,emas,1
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Kupu-kupu Putri,Ulya Mutiara,emas,1
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Kupu-kupu Putri,Ulya Mutiara,emas,1
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Dada Putri,Ulya Mutiara,emas,1
8,Renang,Kejurnas Antar PPLP/D 2018,200 meter Gaya Ganti Perorangan Putri,Ulya Mutiara,emas,1
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Dada Putri,Alvia Azzahra,emas,1
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Dada Putri,Alvia Azzahra,emas,1
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putra,La Ode Fikri,emas,1
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putra,La Ode Fikri,emas,1
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putri,Widad Audir,emas,1
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putra,M. Adlan Sumori,emas,1
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Bebas Putri,Raissa,emas,1
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Bebas Putri,Asih Setyorini,emas,1
8,Renang,Kejurnas Antar PPLP/D 2018,200 meter Gaya Ganti Perorangan Putra,Lutfi Lukman,perak,1
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Ganti Perorangan Putri,Alvia Azzahra,perak,1
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Dada Putri,Sasy Zahrani,perak,1
