kota/kabupaten,kecamatan,jenis_fasilitas_olahraga,jumlah
Jakarta Timur,Kramat Jati,stadion,0
Jakarta Timur,Makasar,stadion,0
Jakarta Timur,Pasar Rebo,stadion,0
Jakarta Timur,Ciracas,stadion,1
Jakarta Timur,Cipayung,stadion,0
Jakarta Timur,GOR PKP,stadion,0
Jakarta Pusat,Cempaka Putih,stadion,0
Jakarta Pusat,Johar Baru,stadion,0
Jakarta Pusat,Kemayoran,stadion,0
Jakarta Pusat,Gambir,stadion,1
Jakarta Pusat,Menteng,stadion,0
Jakarta Pusat,Senen,stadion,0
Jakarta Pusat,Tanah Abang,stadion,0
Jakarta Pusat,Sawah Besar,stadion,1
Jakarta Barat,UPT GRJB,stadion,0
Jakarta Barat,Grogol Petambutan,stadion,0
Jakarta Barat,Palmerah,stadion,0
Jakarta Barat,Kebon Jeruk,stadion,1
Jakarta Barat,Kembangan,stadion,1
Jakarta Barat,Cengkareng,stadion,1
Jakarta Barat,Kalideres,stadion,0
Jakarta Barat,Tambora,stadion,0
Jakarta Barat,Tamansari,stadion,1
Jakarta Utara,UP Gelanggang Remaja Jakarta Utara,stadion,0
Jakarta Utara,Cilincing,stadion,0
Jakarta Utara,Koja,stadion,0
Jakarta Utara,Kelapa Gading,stadion,0
Jakarta Utara,Tanjung Priok,stadion,0
Jakarta Utara,Pademangan,stadion,0
Jakarta Utara,Penjaringan,stadion,0
Jakarta Selatan,Cilandak,tenis,1
Jakarta Selatan,Jagakarsa,tenis,1
Jakarta Selatan,Kebayoran Baru,tenis,4
Jakarta Selatan,Kebayoran Lama,tenis,0
Jakarta Selatan,Mampang Prapatan,tenis,0
Jakarta Selatan,Pancoran,tenis,15
Jakarta Selatan,Pasar Minggu,tenis,2
Jakarta Selatan,Pesanggrahan,tenis,0
Jakarta Selatan,Setiabudi,tenis,2
Jakarta Selatan,Tebet,tenis,2
Jakarta Timur,UP GJRT,tenis,0
Jakarta Timur,Fasilitas GOR Otista,tenis,0
Jakarta Timur,Duren Sawit,tenis,1
Jakarta Timur,Jatinegara,tenis,0
Jakarta Timur,Pulogadung,tenis,0
Jakarta Timur,Cakung,tenis,0
Jakarta Timur,Matraman,tenis,0
Jakarta Timur,Kramat Jati,tenis,0
Jakarta Timur,Makasar,tenis,0
Jakarta Timur,Pasar Rebo,tenis,0
Jakarta Timur,Ciracas,tenis,1
Jakarta Timur,Cipayung,tenis,0
Jakarta Timur,GOR PKP,tenis,0
Jakarta Pusat,Cempaka Putih,tenis,0
Jakarta Pusat,Johar Baru,tenis,0
Jakarta Pusat,Kemayoran,tenis,0
Jakarta Pusat,Gambir,tenis,0
Jakarta Pusat,Menteng,tenis,0
Jakarta Pusat,Senen,tenis,0
Jakarta Pusat,Tanah Abang,tenis,0
Jakarta Pusat,Sawah Besar,tenis,0
Jakarta Barat,UPT GRJB,tenis,0
Jakarta Barat,Grogol Petambutan,tenis,0
Jakarta Barat,Palmerah,tenis,2
Jakarta Barat,Kebon Jeruk,tenis,0
Jakarta Barat,Kembangan,tenis,0
Jakarta Barat,Cengkareng,tenis,1
Jakarta Barat,Kalideres,tenis,0
Jakarta Barat,Tambora,tenis,0
Jakarta Barat,Tamansari,tenis,0
Jakarta Utara,UP Gelanggang Remaja Jakarta Utara,tenis,1
Jakarta Utara,Cilincing,tenis,0
Jakarta Utara,Koja,tenis,2
Jakarta Utara,Kelapa Gading,tenis,7
Jakarta Utara,Tanjung Priok,tenis,0
Jakarta Utara,Pademangan,tenis,0
Jakarta Utara,Penjaringan,tenis,0
Jakarta Selatan,Cilandak,tenis meja,0
Jakarta Selatan,Jagakarsa,tenis meja,0
Jakarta Selatan,Kebayoran Baru,tenis meja,0
Jakarta Selatan,Kebayoran Lama,tenis meja,0
Jakarta Selatan,Mampang Prapatan,tenis meja,8
Jakarta Selatan,Pancoran,tenis meja,15
Jakarta Selatan,Pasar Minggu,tenis meja,1
Jakarta Selatan,Pesanggrahan,tenis meja,0
Jakarta Selatan,Setiabudi,tenis meja,0
Jakarta Selatan,Tebet,tenis meja,8
Jakarta Timur,UP GJRT,tenis meja,0
Jakarta Timur,Fasilitas GOR Otista,tenis meja,0
Jakarta Timur,Duren Sawit,tenis meja,0
Jakarta Timur,Jatinegara,tenis meja,0
Jakarta Timur,Pulogadung,tenis meja,0
Jakarta Timur,Cakung,tenis meja,0
Jakarta Timur,Matraman,tenis meja,0
Jakarta Timur,Kramat Jati,tenis meja,0
Jakarta Timur,Makasar,tenis meja,0
Jakarta Timur,Pasar Rebo,tenis meja,0
Jakarta Timur,Ciracas,tenis meja,0
Jakarta Timur,Cipayung,tenis meja,0
Jakarta Timur,GOR PKP,tenis meja,0
Jakarta Pusat,Cempaka Putih,tenis meja,0
Jakarta Pusat,Johar Baru,tenis meja,0
Jakarta Pusat,Kemayoran,tenis meja,0
Jakarta Pusat,Gambir,tenis meja,1
Jakarta Pusat,Menteng,tenis meja,0
Jakarta Pusat,Senen,tenis meja,0
Jakarta Pusat,Tanah Abang,tenis meja,0
Jakarta Pusat,Sawah Besar,tenis meja,0
Jakarta Barat,UPT GRJB,tenis meja,0
Jakarta Barat,Grogol Petambutan,tenis meja,0
Jakarta Barat,Palmerah,tenis meja,0
Jakarta Barat,Kebon Jeruk,tenis meja,2
Jakarta Barat,Kembangan,tenis meja,1
Jakarta Barat,Cengkareng,tenis meja,5
Jakarta Barat,Kalideres,tenis meja,0
Jakarta Barat,Tambora,tenis meja,0
Jakarta Barat,Tamansari,tenis meja,0
Jakarta Utara,UP Gelanggang Remaja Jakarta Utara,tenis meja,5
Jakarta Utara,Cilincing,tenis meja,0
Jakarta Utara,Koja,tenis meja,0
Jakarta Utara,Kelapa Gading,tenis meja,0
Jakarta Utara,Tanjung Priok,tenis meja,0
Jakarta Utara,Pademangan,tenis meja,0
Jakarta Utara,Penjaringan,tenis meja,0
